type,host_time,imu_time_us,x,y,z,i,j,k,real,accuracy
LA,1782148466.3773818,5837760,-0.105469,-0.234375,-0.054688,,,,,
RV,1782148466.3826406,5842860,,,,-0.065125,0.121765,0.573669,0.807373,1.13208
LA,1782148466.385382,5842860,-0.136719,-0.234375,-0.015625,,,,,
RV,1782148466.3912082,5847760,,,,-0.065308,0.121948,0.573669,0.807373,1.13208
LA,1782148466.3941884,5847760,-0.28125,-0.234375,-0.007812,,,,,
RV,1782148466.3986754,5852760,,,,-0.065491,0.122192,0.573669,0.807312,1.13208
RV,1782148466.4914405,6022439,,,,-0.065979,0.125427,0.570557,0.80896,1.132324
RV,1782148466.5892143,6067975,,,,-0.06543,0.123535,0.569458,0.809998,1.132324
LA,1782148466.5955386,6067975,0.050781,0.21875,-0.070312,,,,,
RV,1782148466.5984263,6072975,,,,-0.06543,0.123413,0.569458,0.810059,1.132324
LA,1782148466.6035929,6072975,0.003906,0.179688,-0.152344,,,,,
RV,1782148466.6068747,6077675,,,,-0.06543,0.123291,0.569519,0.810059,1.132324
LA,1782148466.616126,6077675,0.042969,0.179688,-0.078125,,,,,
RV,1782148466.6172032,6083075,,,,-0.065491,0.123169,0.569519,0.810059,1.132324
LA,1782148466.6219206,6083075,0.078125,0.226562,-0.152344,,,,,
RV,1782148466.6286209,6087675,,,,-0.065552,0.123047,0.56958,0.810059,1.132324
LA,1782148466.6309254,6087675,0.078125,0.1875,-0.113281,,,,,
RV,1782148466.6338563,6092975,,,,-0.065674,0.122864,0.56958,0.809998,1.132324
LA,1782148466.6372147,6092975,0.042969,0.1875,-0.078125,,,,,
RV,1782148466.6428201,6097575,,,,-0.065735,0.122803,0.569641,0.809998,1.132324
LA,1782148466.6451364,6097575,-0.003906,0.234375,-0.078125,,,,,
RV,1782148466.6488357,6103075,,,,-0.065857,0.12262,0.569702,0.809998,1.132324
RV,1782148466.741014,6271356,,,,-0.064392,0.11676,0.570862,0.81012,1.132568
RV,1782148466.8397906,6317665,,,,-0.061951,0.112976,0.574768,0.808105,1.132812
LA,1782148466.8466601,6317665,-0.191406,0.371094,0.257812,,,,,
RV,1782148466.8579464,6323165,,,,-0.061646,0.112854,0.575073,0.807922,1.132812
LA,1782148466.8590195,6323165,-0.199219,0.371094,0.097656,,,,,
RV,1782148466.859277,6327665,,,,-0.06134,0.112854,0.575378,0.807739,1.132812
LA,1782148466.8615599,6327665,-0.238281,0.363281,0.144531,,,,,
RV,1782148466.8713849,6333065,,,,-0.060974,0.112793,0.575745,0.807495,1.132812
LA,1782148466.8720658,6333065,-0.246094,0.394531,0.144531,,,,,
RV,1782148466.8781395,6337665,,,,-0.060669,0.112854,0.57605,0.807312,1.132812
LA,1782148466.8880062,6337665,-0.207031,0.394531,0.058594,,,,,
RV,1782148466.8900373,6342965,,,,-0.060242,0.112854,0.576477,0.807068,1.132812
LA,1782148466.8904586,6342965,-0.292969,0.371094,-0.054688,,,,,
RV,1782148466.8946989,6348265,,,,-0.059937,0.112854,0.576904,0.806763,1.132812
LA,1782148466.8951712,6348265,-0.292969,0.410156,-0.015625,,,,,
RV,1782148466.9094844,6353065,,,,-0.059631,0.112854,0.577271,0.806519,1.132812
RV,1782148466.991531,6521144,,,,-0.053528,0.114563,0.589844,0.797546,1.132812
RV,1782148467.088427,6567911,,,,-0.047913,0.116516,0.600586,0.789551,1.133057
LA,1782148467.1059563,6567911,0.15625,-0.050781,0.0,,,,,
RV,1782148467.108124,6577611,,,,-0.048218,0.116272,0.601746,0.788696,1.133057
LA,1782148467.1106803,6577611,0.042969,-0.125,0.152344,,,,,
RV,1782148467.1157157,6582511,,,,-0.048462,0.116272,0.602295,0.788269,1.133057
LA,1782148467.1189961,6582511,-0.035156,-0.078125,0.113281,,,,,
RV,1782148467.1245723,6587811,,,,-0.048584,0.116272,0.602966,0.78772,1.133057
